PERIODO,OPCIONES,TIPO,GRUPO,AEROPUERTO,TOTAL
2006-01-01,CARGA,INTERNACIONAL,AICM,CIUDAD DE MÉXICO,21406
2006-01-01,CARGA,INTERNACIONAL,ASA,TOLUCA,1122
2006-01-01,CARGA,INTERNACIONAL,ASA,TUXTLA GUTIERREZ (ANGEL ALBINO CORZO),17
2006-01-01,CARGA,INTERNACIONAL,ASUR,CANCUN,773
2006-01-01,CARGA,INTERNACIONAL,ASUR,COZUMEL,5
2006-01-01,CARGA,INTERNACIONAL,ASUR,MERIDA,870
2006-01-01,CARGA,INTERNACIONAL,GAP,BAJIO,23
2006-01-01,CARGA,INTERNACIONAL,GAP,GUADALAJARA,5369
2006-01-01,CARGA,INTERNACIONAL,GAP,HERMOSILLO,14
2006-01-01,CARGA,INTERNACIONAL,GAP,PUERTO VALLARTA,151
2006-01-01,CARGA,INTERNACIONAL,GAP,SAN JOSE DEL CABO,45
2006-01-01,CARGA,INTERNACIONAL,GAP,TIJUANA,37
2006-01-01,CARGA,INTERNACIONAL,OMA,ACAPULCO,37
2006-01-01,CARGA,INTERNACIONAL,OMA,CD. JUAREZ,14
2006-01-01,CARGA,INTERNACIONAL,OMA,CHIHUAHUA,220
2006-01-01,CARGA,INTERNACIONAL,OMA,MAZATLAN,37
2006-01-01,CARGA,INTERNACIONAL,OMA,MONTERREY,1882
2006-01-01,CARGA,INTERNACIONAL,OMA,TORREON,2
2006-01-01,CARGA,INTERNACIONAL,SOCIEDADES/PARTNERSHIPS,QUERÉTARO,1
2006-01-01,CARGA,NACIONAL,AICM,CIUDAD DE MÉXICO,8465
2006-01-01,CARGA,NACIONAL,ASA,CD. DEL CARMEN,66
2006-01-01,CARGA,NACIONAL,ASA,CD. OBREGÓN,24
2006-01-01,CARGA,NACIONAL,ASA,CD. VICTORIA,15
2006-01-01,CARGA,NACIONAL,ASA,CHETUMAL,25
2006-01-01,CARGA,NACIONAL,ASA,COLIMA,4
2006-01-01,CARGA,NACIONAL,ASA,MATAMOROS,26
2006-01-01,CARGA,NACIONAL,ASA,NUEVO LAREDO,32
2006-01-01,CARGA,NACIONAL,ASA,POZA RICA,8
